;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
8744;femenino;industria;tienda;san_jose_de_la_cima_no__;2;3;2018-05-11;1500000.0;microempresarial
8745;femenino;servicio;comidas_rapidas;belalcazar;3;5;2016-09-26;5000000.0;microempresarial
8746;femenino;industria;cafeteria;santo_domingo_savio_;1;1;2018-06-22;1000000.0;microempresarial
8747;femenino;servicio;peluqueria;aranjuez;2;4;2017-05-25;6000000.0;microempresarial
8748;masculino;servicio;restaurante;belencito;2;13;2018-05-07;2000000.0;microempresarial
8749;masculino;industria;fabrica_de_;santa_rosa_de_lima;3;13;2017-10-24;7000000.0;microempresarial
8750;femenino;comercio;tienda;santo_domingo_savio_;1;1;2018-11-07;6000000.0;microempresarial
8751;femenino;industria;fabrica_de_;manrique_oriental;1;3;2018-04-17;2300000.0;microempresarial
8752;femenino;industria;fabrica_de_arepas;robledo;2;7;2016-05-21;6890000.0;microempresarial
8753;masculino;comercio;tienda_de_helados;belen;2;16;2018-04-27;7000000.0;microempresarial
8756;femenino;industria;fabrica_de_;villatina;2;8;2017-06-20;3000000.0;microempresarial
8757;femenino;servicio;peluqueria;enciso;2;8;2019-03-05;8000000.0;microempresarial
8758;femenino;comercio;comidas_rapidas;cabecera_san_cristobal;3;60;2019-05-27;7200000.0;microempresarial
8759;masculino;comercio;variedades;manrique_oriental;2;3;2019-01-28;8200000.0;microempresarial
8760;femenino;comercio;restaurante;boston;3;10;2018-09-20;6000000.0;microempresarial
8761;femenino;comercio;productos_de_belleza;manrique_central_no__1;2;4;2017-05-08;7377000.0;microempresarial
8762;femenino;industria;fabrica_de_;santo_domingo_savio_;1;1;2017-01-10;7000000.0;microempresarial
8764;femenino;comercio;almacen_de_ropa_en_;robledo;3;7;2019-03-21;7500000.0;microempresarial
8765;femenino;servicio;variedades;belen;3;16;2016-12-19;236674.0;microempresarial
8766;masculino;industria;carpinteria;manrique_oriental;1;3;2018-04-10;3000000.0;microempresarial
8767;femenino;comercio;variedades;villa_hermosa;2;8;2018-07-17;7800000.0;microempresarial
8768;masculino;comercio;miscelanea;san_javier_no_1;3;13;2017-02-21;7300000.0;microempresarial
8769;femenino;industria;fabrica_de_;aranjuez;3;4;2018-05-31;7800000.0;microempresarial
8770;masculino;comercio;variedades;manrique_central_no__1;3;4;2017-12-01;7300000.0;microempresarial
8771;femenino;comercio;variedades;boston;3;10;2018-03-14;3000000.0;microempresarial
8772;femenino;comercio;cafe_e_internet;belen;3;16;2019-06-25;7500000.0;microempresarial
8773;femenino;servicio;comidas_rapidas;popular;1;1;2016-04-21;2000000.0;microempresarial
8774;femenino;comercio;tienda;aranjuez;2;4;2019-02-01;4500000.0;microempresarial
